Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,78514,450,2747,32,32954,8346,Asia
S. Korea,1766,505,13,1,24,18,Asia
Diamond Princess,705,,4,,10,36,
Italy,655,185,17,5,45,35,Europe
Iran,245,106,26,7,54,,Asia
Japan,207,35,4,1,32,13,Asia
Singapore,96,3,,,66,7,Asia
Hong Kong,92,3,2,,18,6,Asia
USA,60,,,,6,,N.America
Kuwait,43,17,,,,,Asia
Germany,41,14,,,15,2,Europe
Thailand,40,,,,22,2,Asia
Bahrain,33,,,,,,Asia
Taiwan,32,,1,,5,1,Asia
France,28,10,2,,11,1,Europe
Australia,23,,,,15,,Oceania
Malaysia,22,,,,20,,Asia
U.A.E.,19,6,,,5,2,Asia
Spain,17,4,,,2,2,Europe
U.K.,16,3,,,8,,Europe
Vietnam,16,,,,16,,Asia
Canada,12,,,,3,,N.America
Macao,10,,,,6,,Asia
Sweden,7,5,,,,,Europe
Iraq,6,1,,,,,Asia
Oman,6,2,,,,,Asia
Switzerland,6,5,,,,,Europe
Philippines,3,,1,,2,,Asia
Austria,3,1,,,,,Europe
Croatia,3,,,,,,Europe
Greece,3,2,,,,,Europe
India,3,,,,3,,Asia
Israel,3,1,,,,,Asia
Lebanon,3,1,,,,,Asia
Finland,2,,,,1,,Europe
Pakistan,2,,,,,,Asia
Russia,2,,,,2,,Europe
Afghanistan,1,,,,,,Asia
Algeria,1,,,,,,Africa
Belgium,1,,,,1,,Europe
Brazil,1,,,,,,South America
Cambodia,1,,,,1,,Asia
Denmark,1,1,,,,,Europe
Egypt,1,,,,1,,Africa
Estonia,1,1,,,,,Europe
Georgia,1,,,,,,Asia
North Macedonia,1,,,,,,Europe
Nepal,1,,,,1,,Asia
Norway,1,,,,,,Europe
Romania,1,,,,,,Europe
Sri Lanka,1,,,,1,,Asia
