Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,78832,335,2788,44,36442,7952,Asia
S. Korea,2337,571,13,,24,10,Asia
Diamond Princess,705,,4,,10,36,
Italy,655,,17,,45,56,Europe
Iran,388,143,34,8,73,,Asia
Japan,226,12,5,1,32,13,Asia
Singapore,96,,,,66,8,Asia
Hong Kong,93,1,2,,18,6,Asia
Germany,60,11,,,16,2,Europe
USA,60,,,,6,,N.America
Kuwait,45,2,,,,,Asia
France,41,3,2,,11,1,Europe
Thailand,41,1,,,22,2,Asia
Bahrain,36,3,,,,,Asia
Taiwan,34,2,1,,5,1,Asia
Spain,26,1,,,2,2,Europe
Malaysia,25,3,,,20,,Asia
Australia,24,1,,,15,,Oceania
U.K.,19,3,,,8,,Europe
U.A.E.,19,,,,5,2,Asia
Vietnam,16,,,,16,,Asia
Switzerland,15,7,,,,,Europe
Canada,14,,,,3,,N.America
Macao,10,,,,6,,Asia
Iraq,7,,,,,,Asia
Sweden,7,,,,,,Europe
Oman,6,,,,,,Asia
Austria,5,,,,,,Europe
Croatia,5,2,,,,,Europe
Greece,4,1,,,,,Europe
Israel,4,1,,,,,Asia
Norway,4,,,,,,Europe
Philippines,3,,1,,2,,Asia
India,3,,,,3,,Asia
Lebanon,3,,,,,,Asia
Finland,2,,,,1,,Europe
Georgia,2,1,,,,,Asia
Netherlands,2,1,,,,,Europe
Pakistan,2,,,,,,Asia
Russia,2,,,,2,,Europe
Afghanistan,1,,,,,,Asia
Algeria,1,,,,,,Africa
Belarus,1,1,,,,,Europe
Belgium,1,,,,1,,Europe
Brazil,1,,,,,,South America
Cambodia,1,,,,1,,Asia
Denmark,1,,,,,,Europe
Egypt,1,,,,1,,Africa
Estonia,1,,,,,,Europe
Lithuania,1,1,,,,,Europe
North Macedonia,1,,,,,,Europe
Nepal,1,,,,1,,Asia
New Zealand,1,1,,,,,Oceania
Nigeria,1,1,,,,,Africa
Romania,1,,,,,,Europe
San Marino,1,,,,,,Europe
Sri Lanka,1,,,,1,,Asia
Azerbaijan,1,1,,,,,Asia
