Country/ Territory,Total Cases,Feb 8  Cases,Total Deaths,Feb 8  Deaths,Total Recovered,Total Severe,Region
China,36778,2232,804,82,2377,6101,Asia
Japan,89,3,,,4,,Asia
Singapore,40,7,,,2,1,Asia
Thailand,32,7,,,9,1,Asia
Hong Kong,26,,1,,,,Asia
S. Korea,24,,,,2,,Asia
Taiwan,17,1,,,1,,Asia
Malaysia,16,1,,,1,,Asia
Australia,15,,,,5,,Oceania
Germany,14,,,,,,Europe
Vietnam,13,1,,,3,,Asia
USA,12,,,,3,,N.America
France,11,5,,,,1,Europe
Macao,10,,,,1,,Asia
Canada,7,,,,,,N.America
U.A.E.,7,,,,,,Asia
Philippines,3,,1,,,,Asia
India,3,,,,,,Asia
Italy,3,,,,,2,Europe
U.K.,3,,,,,,Europe
Russia,2,,,,,,Europe
Nepal,1,,,,,,Asia
Cambodia,1,,,,1,,Asia
Finland,1,,,,1,,Europe
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Belgium,1,,,,,,Europe
Spain,1,,,,,,Europe
