Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,77345,409,2593,151,25010,11477,Asia
S. Korea,833,231,8,2,22,6,Asia
Diamond Princess,691,,3,,17,36,
Italy,224,67,5,2,2,24,Europe
Japan,154,8,1,,23,7,Asia
Singapore,90,1,,,53,7,Asia
Hong Kong,79,5,2,,19,6,Asia
Iran,61,18,12,4,3,,Asia
Thailand,35,,,,21,2,Asia
USA,35,,,,7,,N.America
Taiwan,30,2,1,,5,1,Asia
Australia,22,,,,11,,Oceania
Malaysia,22,,,,18,,Asia
Germany,16,,,,14,,Europe
Vietnam,16,,,,15,,Asia
U.K.,13,,,,8,,Europe
U.A.E.,13,,,,3,2,Asia
France,12,,1,,10,,Europe
Canada,10,,,,3,,N.America
Macao,10,,,,6,,Asia
Philippines,3,,1,,2,,Asia
India,3,,,,3,,Asia
Kuwait,3,3,,,,,Asia
Israel,2,,,,,,Asia
Russia,2,,,,2,,Europe
Spain,2,,,,2,,Europe
Afghanistan,1,1,,,,,Asia
Bahrain,1,1,,,,,Asia
Belgium,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Egypt,1,,,,1,,Africa
Finland,1,,,,1,,Europe
Iraq,1,,,,,,Asia
Lebanon,1,,,,,,Asia
Nepal,1,,,,1,,Asia
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,,,Europe
