Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,75892,1316,2236,118,18673,12017,Asia
Diamond Princess,634,,2,,17,27,
S. Korea,204,93,2,1,17,,Asia
Japan,108,14,1,,22,5,Asia
Singapore,86,1,,,47,5,Asia
Hong Kong,69,,2,,6,6,Asia
Thailand,35,,,,19,2,Asia
USA *,35,20,,,6,,N.America
Taiwan,26,2,1,,2,1,Asia
Malaysia,22,,,,17,,Asia
Australia,21,4,,,11,,Oceania
Italy,19,15,,,1,7,Europe
Iran,18,13,4,2,,,Asia
Germany,16,,,,13,,Europe
Vietnam,16,,,,15,,Asia
France,12,,1,,7,,Europe
U.A.E.,11,2,,,3,1,Asia
Macao,10,,,,6,,Asia
Canada,9,1,,,3,,N.America
U.K.,9,,,,8,,Europe
Philippines,3,,1,,2,,Asia
India,3,,,,3,,Asia
Russia,2,,,,2,,Europe
Spain,2,,,,2,,Europe
Belgium,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Egypt,1,,,,1,,Africa
Finland,1,,,,1,,Europe
Israel,1,1,,,,,Asia
Lebanon,1,1,,,,,Asia
Nepal,1,,,,1,,Asia
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,1,,Europe
